PG.UniprotIds,PG.Genes,PG.ProteinDescriptions,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.PSMs,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.PSMs,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.PSMs,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.PSMs,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.PSMsForQuant,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.PSMsForQuant,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.PSMsForQuant,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.PSMsForQuant,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.Label-Free Quant,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.Label-Free Quant,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.Label-Free Quant,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.Label-Free Quant,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.Coverage,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.Coverage,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.Coverage,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.Coverage,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.Score,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.Score,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.Score,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.Score,20220401_KMJ_LB_PB_140min_15cm_M2.raw.PG.UniquePeptides,20220401_KMJ_LB_PB_140min_15cm_M1.raw.PG.UniquePeptides,20220401_KMJ_LB_PB_140min_15cm_P2.raw.PG.UniquePeptides,20220401_KMJ_LB_PB_140min_15cm_P1.raw.PG.UniquePeptides
A0A286ZZB7,H1-4,"H1.4 linker histone, cluster member",6,3,6,10,3,1,3,5,5911475,4268680,1.135447E+07,1.837839E+07,13.5%,5.3%,13.5%,13.5%,1.97044384479523,1.97044384479523,1.97044384479523,1.97044384479523,5,5,5,5
A0A5G2QHA9;A0A5G2R1T6;A0A5G2RIH8;F1RXR1;K7GKF8,SRPX,Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Sushi repeat-containing protein SRPX;Uncharacterized protein,3,7,3,2,3,5,3,2,4523192,3513219,773786.9,808419.5,11.2%;9.9%;10.8%;10.2%;9.8%,14.9%;13.2%;14.4%;13.6%;13%,8.2%;7.2%;7.9%;7.5%;7.2%,8.2%;7.2%;7.9%;7.5%;7.2%,2.16044926643372,2.16044926643372,2.16044926643372,2.16044926643372,6,6,6,6
A0A287AXA8;A0A287B3F4;F1S557,AGL,Glycogen debrancher,10,12,23,32,5,5,5,5,3051391,7692099,1.498247E+07,3.591029E+07,6.4%;6.4%;6.5%,9.9%;9.9%;10.1%,17.8%;17.8%;18.3%,22.4%;22.4%;23%,2.74205613136292,2.74205613136292,2.74205613136292,2.74205613136292,32,32,32,32
A0A287A189,COX20,"Cytochrome c oxidase assembly protein COX20, mitochondrial",1,NaN,1,2,1,NaN,1,1,152930.5,NaN,408110.3,807779.3,19.3%,NaN,19.3%,19.3%,1.42716956138611,NaN,1.42716956138611,1.42716956138611,1,NaN,1,1
P04366,AMBP,Protein AMBP (Fragment),9,9,NaN,3,4,4,NaN,2,5.639756E+07,7.802093E+07,NaN,2991709,8.6%,8.6%,NaN,5%,2.17189884185791,2.17189884185791,NaN,2.17189884185791,4,4,NaN,4
A0A287BED9;F1RTN3,MSN,Moesin,7,7,9,12,5,5,5,5,8041217,2.065372E+07,3.347426E+07,1.898151E+07,10%;10%,8.5%;8.4%,10.4%;10.3%,14.5%;14.5%,2.90075421333313,2.90075421333313,2.90075421333313,2.90075421333313,10,10,10,10
A0A287AZA7;A0A2C9F3G2;A0A5G2QDJ2;A7U5U2;F1S911;P0CG68;P63053,RPS27A;UBC;UBC;UBB;KXD1;UBC;UBA52,Ubiquitin carboxyl extension protein 80;Polyubiquitin-C;Polyubiquitin-C;Ubiquitin B;KxDL motif-containing protein 1;Polyubiquitin-C;Ubiquitin-60S ribosomal protein L40,7,7,10,11,2,3,4,4,2.313121E+07,4.553612E+07,6.506047E+07,1.185017E+08,12.3%;32.9%;32.9%;32.8%;8.2%;32.8%;19.5%,16.7%;44.7%;44.7%;44.5%;11.1%;44.7%;26.6%,19.6%;52.6%;52.6%;52.4%;13.1%;52.5%;31.2%,19.6%;52.6%;52.6%;52.4%;13.1%;52.5%;31.2%,2.56221413612366,2.56221413612366,2.56221413612366,2.56221413612366,4,4,4,4
A0A286ZY95,FN1,Fibronectin,2,NaN,4,3,1,NaN,3,2,4295116,NaN,4.070485E+07,1.062184E+07,1.3%,NaN,2%,1.3%,2.10985422134399,NaN,2.10985422134399,2.10985422134399,3,NaN,3,3
A0A287BID4,H2BC21,Histone H2B,1,1,2,7,1,1,2,2,1.624121E+07,751192.3,2693896,8.663958E+07,7.1%,7.1%,7.9%,7.9%,1.92969691753387,1.92969691753387,1.92969691753387,1.92969691753387,2,2,2,2
Q9TSX9,PRDX6,Peroxiredoxin-6,1,4,NaN,11,1,3,NaN,5,2707476,710246.9,NaN,2057322,4.9%,18.3%,NaN,29.9%,2.10559058189392,2.10559058189392,NaN,2.10559058189392,7,7,NaN,7
K7GND3,DHX9,DEAH box protein 9,1,2,7,13,1,2,5,5,337504.1,177103.5,4264016,1.099162E+07,0.9%,1.5%,7%,10.3%,2.64987111091614,2.64987111091614,2.64987111091614,2.64987111091614,12,12,12,12
A0A286ZYS8;I3LPD6,CMYA5,Cardiomyopathy associated 5,4,3,NaN,NaN,4,3,NaN,NaN,903945.5,3633859,NaN,NaN,1.7%;1.8%,1.4%;1.4%,NaN,NaN,2.4067656993866,2.4067656993866,NaN,NaN,4,4,NaN,NaN
A0A287A9I6;A0A5G2QSG1;A0A5G2R4T0;I3LLW3,SAMM50,SAMM50 sorting and assembly machinery component,1,2,1,3,1,2,1,3,498802.3,182853.8,167327.8,6376795,3.8%;3.9%;3.9%;4.4%,3.4%;3.5%;3.4%;3.9%,1.7%;1.8%;1.7%;2%,7.2%;7.5%;7.3%;8.4%,2.53132176399231,2.53132176399231,2.53132176399231,2.53132176399231,3,3,3,3
A0A286ZQI3;Q2HYU1,CKMT2,Creatine kinase,12,15,5,15,5,5,3,5,1.275637E+07,2.403448E+07,1050486,6288575,30%;31.7%,32.3%;34.1%,5.4%;5.7%,26.4%;27.9%,2.52133464813232,2.52133464813232,2.52133464813232,2.52133464813232,17,17,17,17
A0A287BPF4,COL6A3,Collagen type VI alpha 3 chain,1,2,3,NaN,1,2,2,NaN,1985843,829514.3,2505237,NaN,0.6%,0.8%,0.8%,NaN,1.8974951505661,1.8974951505661,1.8974951505661,NaN,2,2,2,NaN
A0A5G2R6F6;I3LJ05,GATD3A,Uncharacterized protein,3,5,3,4,3,4,2,3,1.258066E+07,1.085523E+07,1.498044E+07,4109503,16.4%;16.8%,15.7%;16%,9.9%;10.1%,13.5%;13.8%,1.93794345855713,1.93794345855713,1.93794345855713,1.93794345855713,5,5,5,5
A0A5G2QNX7;A0A5G2RE35;A0A5G2RJ26;K7GKS2;K7GRV3,CDK16,Cyclin dependent kinase 16,3,2,1,3,1,1,1,2,8.849168E+07,1.086387E+08,1.674562E+07,406526.5,2.2%;1.8%;1.5%;1.5%;1.8%,2.2%;1.8%;1.5%;1.5%;1.8%,2.2%;1.8%;1.5%;1.5%;1.8%,4.1%;3.4%;2.7%;2.8%;3.4%,1.40528273582459,1.40528273582459,1.40528273582459,1.40528273582459,2,2,2,2
A0A5G2QRX0;F1RQI0,COL12A1,Collagen type XII alpha 1 chain,11,30,190,109,5,5,5,5,2.040187E+07,7.140793E+07,1.72701E+08,2.21759E+08,4.6%;4.5%,9.2%;9.1%,37.8%;37.5%,27.6%;27.3%,2.70959806442261,2.70959806442261,2.70959806442261,2.70959806442261,105,105,105,105
P02543,VIM,Vimentin,26,33,39,64,5,5,5,5,1.021635E+08,2.860093E+08,1.429091E+08,2.092033E+08,34.3%,38.6%,41.8%,47.6%,2.65943884849548,2.65943884849548,2.65943884849548,2.65943884849548,31,31,31,31
A0A287AGA0;A0A5G2QEF6;A0A5G2R2Y0;A0A5G2R964;A0A5G2RMX9;F1SLW6,MFAP5,Microfibril associated protein 5,4,3,3,6,4,3,3,3,1.783244E+07,1.422249E+07,8887361,1.982995E+07,24.7%;24.2%;16.1%;24.1%;25.7%;26.8%,15.6%;15.3%;10.2%;15.2%;16.2%;16.9%,15.6%;15.3%;10.2%;15.2%;16.2%;16.9%,15.6%;15.3%;10.2%;15.2%;16.2%;16.9%,2.24721074104309,2.24721074104309,2.24721074104309,2.24721074104309,5,5,5,5
F1RKY2,SERPIND1,Serpin family D member 1,2,2,5,4,2,2,4,3,601639.4,1329458,3311313,2851314,2.7%,3.1%,7.4%,6%,2.17359185218811,2.17359185218811,2.17359185218811,2.17359185218811,4,4,4,4
P00348,HADH,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",7,7,6,11,5,4,4,5,4638948,1.222871E+07,4.128621E+07,3.724347E+07,29%,18.2%,20.7%,36.9%,2.76499652862549,2.76499652862549,2.76499652862549,2.76499652862549,8,8,8,8
F1SAM3,CDH2,Cadherin-2,4,6,4,5,3,5,4,4,9146835,1.324892E+07,5249816,7560621,7.3%,10.8%,7.4%,8.3%,2.44990491867065,2.44990491867065,2.44990491867065,2.44990491867065,6,6,6,6
F1SBB3,LAMA3,Laminin subunit alpha 3,2,1,2,5,2,1,2,5,6007718,1.912148E+08,591100.9,1.022688E+07,1%,0.4%,0.7%,1.7%,2.18745636940002,2.18745636940002,2.18745636940002,2.18745636940002,6,6,6,6
A0A287B5P2;F1SGG6,KRT5,IF rod domain-containing protein,12,8,8,15,5,5,4,5,5174287,2.537196E+07,3.88118E+07,1.868656E+07,11.6%;11.1%,10.4%;10%,8.7%;8.3%,8.7%;8.3%,2.43297648429871,2.43297648429871,2.43297648429871,2.43297648429871,10,10,10,10
A0A287B4B7;A0A287B6B3;A0A5G2QSK4,GDI2,Rab GDP dissociation inhibitor,3,4,3,6,3,3,3,5,505514.5,2310289,1722799,6698649,7%;7.8%;6.8%,9.4%;10.5%;9.3%,7%;7.8%;6.8%,14.6%;16.2%;14.3%,2.89760327339172,2.89760327339172,2.89760327339172,2.89760327339172,6,6,6,6
A0A287BH21,LOC100156325,SERPIN domain-containing protein,1,2,NaN,NaN,1,2,NaN,NaN,2435120,4206046,NaN,NaN,2.5%,5.7%,NaN,NaN,2.81718516349792,2.81718516349792,NaN,NaN,2,2,NaN,NaN
A0A287ARY3;A0A287BLV7;A0A5G2RBR3;F1SHD7,NDUFS1,"NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial;NADH:ubiquinone oxidoreductase core subunit S1;NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial;NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial",6,14,5,9,5,5,4,5,3451986,1.282119E+07,5401482,1.547881E+07,8.9%;9.6%;8.8%;9.1%,24.1%;25.8%;23.8%;24.5%,8.9%;9.6%;8.8%;9.1%,14.1%;15.1%;13.9%;14.3%,2.74465084075928,2.74465084075928,2.74465084075928,2.74465084075928,12,12,12,12
I3LJI1,NDUFA4,Cytochrome c oxidase subunit NDUFA4,5,7,6,5,1,1,2,1,7.573612E+07,2.088542E+07,970199.9,1.885198E+08,7.3%,7.3%,25.5%,7.3%,2.70663857460022,2.70663857460022,2.70663857460022,2.70663857460022,2,2,2,2
A0A5G2QRW3;F1RII7,HBB,Hemoglobin subunit beta,20,21,43,43,5,5,5,5,5.083674E+07,2.250085E+08,1.964224E+08,3.497754E+08,38.9%;63.3%,46%;74.8%,50.6%;82.3%,50.6%;82.3%,2.65905714035034,2.65905714035034,2.65905714035034,2.65905714035034,14,14,14,14
A0A286ZL65;A0A287A452,RPL15,Ribosomal protein L15,3,4,2,6,2,4,1,5,6634565,2457325,1635374,3.532449E+07,10.3%;11.2%,21.6%;23.5%,5.9%;6.4%,22.1%;24.1%,2.72597193717957,2.72597193717957,2.72597193717957,2.72597193717957,6,6,6,6
A0A5S6I5T1;A0A5S8KLN1;Q29549,CLU,Clusterin,8,8,5,7,5,5,3,5,2.077182E+07,4.437747E+07,1.460402E+07,2.240087E+07,14.8%;15.7%;15.7%,14.8%;15.7%;15.7%,8.7%;9.2%;9.2%,13.1%;13.9%;13.9%,2.63103365898132,2.63103365898132,2.63103365898132,2.63103365898132,6,6,6,6
A0A287BKF4;F1RZN9,SORBS2,Sorbin and SH3 domain-containing protein 2,4,4,4,8,3,3,2,3,2.628098E+07,8985041,1.298148E+07,3187244,2.6%;2.6%,2.6%;2.6%,1%;1%,2%;2%,2.04301857948303,2.04301857948303,2.04301857948303,2.04301857948303,4,4,4,4
A0A480KM31,C11orf1,Heat shock protein beta-2,1,1,1,1,1,1,1,1,491140,1460878,1052598,6310055,13.2%,13.2%,13.2%,13.2%,2.32980942726135,2.32980942726135,2.32980942726135,2.32980942726135,1,1,1,1
F1S021,COL5A1,Collagen type V alpha 1 chain,6,12,22,20,5,5,5,5,2.744124E+07,9.99916E+07,1.264345E+08,8.78077E+07,4.5%,5.2%,9.9%,9.8%,2.43385791778564,2.43385791778564,2.43385791778564,2.43385791778564,12,12,12,12
A0A287AB71;A0A287BGP7;A0A5G2Q9K8;A0A5G2QMB3;F1SQT3,SLC25A3,"Phosphate carrier protein, mitochondrial;Phosphate carrier protein, mitochondrial;Phosphate carrier protein, mitochondrial;Phosphate carrier protein, mitochondrial;Phosphate carrier protein, mitochondrial",17,12,9,21,5,5,5,5,4.84879E+07,1.870625E+08,1.562619E+07,3.296064E+07,16.8%;15.5%;15.7%;19.8%;17.8%,12.9%;11.9%;12%;15.2%;13.6%,12.9%;11.9%;12%;15.2%;13.6%,18.7%;17.2%;17.4%;22%;19.7%,2.28206062316895,2.28206062316895,2.28206062316895,2.28206062316895,14,14,14,14
A0A287AHV7;A0A287BEG9;A0A5G2QN56;A0A5G2QW16;A0A5G2QZ73;A0A5G2RCL6;I3LSD1,SNX9,Sorting nexin;Sorting nexin;Sorting nexin;Sorting nexin;Sorting nexin 9;Sorting nexin;Sorting nexin,1,3,6,8,1,3,5,5,2458889,9725412,1.220257E+07,6553113,2.3%;2.2%;2.2%;2.1%;2.1%;2.1%;2.3%,9.9%;9.3%;9.4%;9%;8.9%;9%;10%,12.8%;12%;12.1%;11.5%;11.4%;11.6%;12.9%,15.5%;14.5%;14.6%;13.9%;13.8%;14%;15.5%,2.76103949546814,2.76103949546814,2.76103949546814,2.76103949546814,6,6,6,6
A0A286ZQ07;A0A5G2QBW2;A0A5G2QQF8;A0A5G2QQP2;A0A5G2QY62;F1S086,SLC25A12,Solute carrier family 25 member 12;Solute carrier family 25 member 12;Solute carrier family 25 member 12;Solute carrier family 25 member 12;Solute carrier family 25 member 12;Calcium-binding mitochondrial carrier protein Aralar1,4,12,4,20,3,5,4,5,3143899,1.730013E+07,1.132267E+07,6.359247E+07,4.1%;4.3%;4.2%;4.5%;4%;4.1%,16.3%;16.9%;16.5%;17.8%;16%;16.4%,7.7%;7.9%;7.7%;8.3%;7.5%;7.7%,25.9%;26.8%;26.2%;28.2%;25.4%;26%,2.70316624641418,2.70316624641418,2.70316624641418,2.70316624641418,14,14,14,14
A0A287B7Q9,ACSS1,Propionate--CoA ligase,3,3,NaN,NaN,3,3,NaN,NaN,781228.3,4327905,NaN,NaN,8.2%,8.2%,NaN,NaN,1.5823460817337,1.5823460817337,NaN,NaN,3,3,NaN,NaN
A0A286ZSB2,RRAD,GTP-binding protein,3,2,6,13,2,1,5,5,6001774,1.455919E+07,1.047602E+07,1.194606E+07,10.4%,3.6%,17.2%,16.9%,2.60612463951111,2.60612463951111,2.60612463951111,2.60612463951111,6,6,6,6
A0A287A6F5,ZADH2,Prostaglandin reductase 3 isoform 1,1,2,3,4,1,1,2,2,1059283,2776447,1639933,2212792,2.4%,2.4%,8.5%,6.4%,2.25167465209961,2.25167465209961,2.25167465209961,2.25167465209961,3,3,3,3
A0A286ZNX3;A0A286ZXT7;A0A287AFC1;A0A287B2H7;A0A5S6GD60;P00339,LDHA,L-lactate dehydrogenase;L-lactate dehydrogenase;L-lactate dehydrogenase;L-lactate dehydrogenase;L-lactate dehydrogenase;L-lactate dehydrogenase A chain,1,1,3,9,1,1,3,5,379098.8,844327.5,2624129,2.586833E+07,1.9%;1.8%;2.3%;2.2%;2.1%;2.4%,1.9%;1.8%;2.3%;2.2%;2.1%;2.4%,6.2%;5.9%;7.5%;7.2%;6.7%;7.8%,11.8%;11.1%;14.2%;13.6%;12.6%;14.8%,2.21976470947266,2.21976470947266,2.21976470947266,2.21976470947266,5,5,5,5
F1SR05;P00336,LDHB,L-lactate dehydrogenase;L-lactate dehydrogenase B chain,10,9,9,15,5,5,5,5,5.143394E+07,1.469107E+08,3.909452E+07,8.93341E+07,18.3%;20.7%,17.8%;20.1%,20.7%;23.4%,23.3%;26.3%,2.63176798820496,2.63176798820496,2.63176798820496,2.63176798820496,9,9,9,9
A0A287AIJ7;A0A5K1VA80;A0A5K1VA81;Q3HUX1,CD36,Glycoprotein IIIb,2,1,NaN,1,2,1,NaN,1,234635.5,197140,NaN,107587.6,4.9%;4.6%;4.6%;4.2%,2.9%;2.8%;2.7%;2.5%,NaN,2.9%;2.8%;2.7%;2.5%,2.09476161003113,2.09476161003113,NaN,2.09476161003113,2,2,NaN,2
F1RLZ7,DPYSL3,Dihydropyrimidinase like 3,6,18,35,38,5,5,5,5,2.773899E+07,1.566401E+08,2.201679E+08,3.141198E+08,10.2%,30%,42.8%,42.8%,2.84084630012512,2.84084630012512,2.84084630012512,2.84084630012512,26,26,26,26
A0A287AC42;A0A287BBB5;A0A5G2RB73,VAPA,VAMP associated protein A,4,3,1,2,2,2,1,2,620083.5,471644.8,495497.2,5994117,11.2%;9.5%;9.2%,11.2%;9.5%;9.2%,5.6%;4.8%;4.6%,11.2%;9.5%;9.2%,2.17315006256104,2.17315006256104,2.17315006256104,2.17315006256104,2,2,2,2
A0A287ARK5;A0A287B4Z4,EPB41L1,FERM domain-containing protein,1,1,2,NaN,1,1,1,NaN,132283.6,418543.8,279654.4,NaN,0.7%;1.1%,0.7%;1.1%,0.7%;1.1%,NaN,1.512446641922,1.512446641922,1.512446641922,NaN,1,1,1,NaN
A0A287B9Y1;A0A5G2QLB9;A0A5G2RD08;F1RQJ4,UGGT1,UDP-glucose glycoprotein glucosyltransferase 1,3,1,2,2,1,1,2,2,5.835474E+07,7.680508E+07,531688.3,806028.8,0.7%;0.8%;0.7%;0.7%,0.7%;0.8%;0.7%;0.7%,1.5%;1.7%;1.5%;1.5%,1.5%;1.7%;1.5%;1.5%,0.732682764530182,0.732682764530182,0.732682764530182,0.732682764530182,2,2,2,2
A0A286ZWQ9,LOC100739365,Uncharacterized protein,1,1,NaN,1,1,1,NaN,1,65734.82,170920.3,NaN,564083.7,4.7%,4.7%,NaN,4.7%,2.14339971542358,2.14339971542358,NaN,2.14339971542358,1,1,NaN,1
A0A287AZG0;A0A5G2QDJ1;F1SIA4,ARHGAP1,Rho GTPase activating protein 1;Rho GTPase activating protein 1;Rho GTPase-activating protein 1,1,NaN,4,4,1,NaN,2,4,6337002,NaN,2683659,2451008,3.6%;3.6%;3.6%,NaN,9.1%;9.3%;9.1%,12.7%;13%;12.7%,2.02612280845642,NaN,2.02612280845642,2.02612280845642,4,NaN,4,4
F1SMZ6,HSPE1,10 kDa chaperonin,6,5,12,13,5,3,5,5,5170548,2.052227E+07,2.214058E+07,4.082978E+07,45.1%,38.2%,53.9%,54.9%,2.5707950592041,2.5707950592041,2.5707950592041,2.5707950592041,10,10,10,10
A0A5G2QWP7;A0A5G2R8S6,IVD,Butyryl-CoA dehydrogenase,2,5,NaN,5,2,4,NaN,5,902250.9,3135215,NaN,2.937451E+07,7.3%;5.1%,13.6%;9.5%,NaN,15.6%;10.9%,2.97999715805054,2.97999715805054,NaN,2.97999715805054,5,5,NaN,5
A0A5K1U8P1;I3LGD4,CLTC,Clathrin heavy chain,7,12,42,43,5,5,5,5,3240013,9723232,2.826457E+07,2.553559E+07,5%;5.1%,8.8%;9%,19.3%;19.8%,23.1%;23.6%,2.83729195594788,2.83729195594788,2.83729195594788,2.83729195594788,41,41,41,41
A0A286ZL32;A0A287A181;A0A287A9A8;A0A287APA5;A0A287AV71,EPB41L3,Erythrocyte membrane protein band 4.1 like 3,9,6,3,6,5,5,3,5,3782886,3324044,1.419376E+07,5556377,8.9%;8.7%;7.6%;6.9%;9.1%,7%;6.8%;6%;5.4%;7.2%,2.2%;2.2%;1.9%;1.7%;2.3%,8%;7.8%;6.9%;6.3%;8.3%,2.56562685966492,2.56562685966492,2.56562685966492,2.56562685966492,9,9,9,9
A0A287AG70;Q8MJ14,GPX1,Glutathione peroxidase;Glutathione peroxidase 1,2,6,2,2,2,4,2,2,512587.1,1374719,498263.4,763986.3,16.6%;16.5%,27.3%;27.2%,16.1%;16%,16.6%;16.5%,2.04683780670166,2.04683780670166,2.04683780670166,2.04683780670166,4,4,4,4
A0A287AIJ3,GPX3,Glutathione peroxidase,3,3,1,1,3,3,1,1,1.836108E+07,9.130732E+07,5360441,7932992,19.6%,14.7%,7.6%,7.6%,2.22606372833252,2.22606372833252,2.22606372833252,2.22606372833252,4,4,4,4
F1RR64,ENDOG,Endonuclease,1,2,2,2,1,2,2,1,2087749,1510226,2310250,3.188223E+07,3.3%,7.7%,7.7%,4.3%,1.76316297054291,1.76316297054291,1.76316297054291,1.76316297054291,3,3,3,3
A0A286ZTM7;Q71LE2,;H3-3A,Histone H3;Histone H3.3,4,3,15,20,4,3,5,5,1.550198E+07,1.675766E+07,6.171672E+07,5.743701E+08,42.6%;42.6%,19.1%;19.1%,52.2%;52.2%,47.8%;47.8%,2.23567962646484,2.23567962646484,2.23567962646484,2.23567962646484,10,10,10,10
A0A5G2QBR5;A0A5G2QVC7;F1SAB3,GGA2,"Golgi associated, gamma adaptin ear containing, ARF binding protein 2;Golgi associated, gamma adaptin ear containing, ARF binding protein 2;Golgi associated, gamma adaptin ear containing, ARF binding protein 2",1,2,5,3,1,2,3,3,344686.5,1134686,1615051,6369739,1.5%;1.3%;1.6%,6.3%;5.7%;6.8%,6.3%;5.7%;6.8%,9.4%;8.4%;10.2%,1.5514417886734,1.5514417886734,1.5514417886734,1.5514417886734,4,4,4,4
F1SRC5,ACO2,"Aconitate hydratase, mitochondrial",3,4,1,3,1,1,1,1,2106839,6594905,1.194983E+07,6529640,2.9%,2.9%,2.9%,2.9%,1.6542032957077,1.6542032957077,1.6542032957077,1.6542032957077,1,1,1,1
I3LP02,ACAT1,Acetyl-CoA acetyltransferase 1,5,6,NaN,10,5,3,NaN,5,5724748,6504600,NaN,7465423,20.9%,9.9%,NaN,20.9%,2.66585469245911,2.66585469245911,NaN,2.66585469245911,9,9,NaN,9
A0A287AM88;A0A5G2R482,LOXL2,Lysyl oxidase homolog,2,1,2,6,2,1,1,4,1887620,1168879,2944173,5293416,4.7%;4.8%,2.1%;2.1%,2.1%;2.1%,5.8%;5.9%,2.19644284248352,2.19644284248352,2.19644284248352,2.19644284248352,6,6,6,6
A0A286ZM84;A0A286ZTU7;A0A286ZYZ5;A0A287AGW0;A0A287AJE3;A0A287B2Z5,LOC106504547,SERPIN domain-containing protein,1,2,NaN,NaN,1,2,NaN,NaN,685340.6,234994.4,NaN,NaN,2%;2%;1.8%;2%;2%;2%,5.5%;5.6%;4.9%;5.6%;5.5%;5.6%,NaN,NaN,2.06711006164551,2.06711006164551,NaN,NaN,2,2,NaN,NaN
Q95266,CAMK2D,Calcium/calmodulin-dependent protein kinase type II subunit delta,3,4,2,6,3,3,2,5,4902248,1.809732E+07,5003542,1.074623E+07,8.4%,8.6%,4.4%,12%,2.21832704544067,2.21832704544067,2.21832704544067,2.21832704544067,6,6,6,6
A0A5G2QPA8,NAXE,NAD(P)H-hydrate epimerase,1,NaN,NaN,1,1,NaN,NaN,1,9126165,NaN,NaN,4215842,2.1%,NaN,NaN,3.1%,1.89879930019379,NaN,NaN,1.89879930019379,2,NaN,NaN,2
A0A286ZKT1;A0A286ZVC8;A0A287B7M7;A0A287BCC5;A0A287BS43;A0A5G2QSW9;A0A5G2RLI5;A0A5K1UJ76;F6QB46;F6QB57,CAMK2G,Calcium/calmodulin-dependent protein kinase,1,1,1,2,1,1,1,2,1418368,685400.4,650697.6,808646.4,1.6%;1.6%;1.8%;1.5%;1.7%;1.6%;1.8%;1.8%;1.9%;1.6%,1.6%;1.6%;1.8%;1.5%;1.7%;1.6%;1.8%;1.8%;1.9%;1.6%,1.6%;1.6%;1.8%;1.5%;1.7%;1.6%;1.8%;1.8%;1.9%;1.6%,3.9%;3.8%;4.4%;3.7%;4.2%;4%;4.4%;4.3%;4.5%;3.8%,2.20783162117004,2.20783162117004,2.20783162117004,2.20783162117004,2,2,2,2
F1SB42,EZR,Ezrin,1,7,4,5,1,4,4,4,5256629,4664850,4930759,3425101,3%,13.2%,7.3%,10.1%,2.68985986709595,2.68985986709595,2.68985986709595,2.68985986709595,6,6,6,6
I3LG96,TNXB,Uncharacterized protein,3,2,8,7,3,2,5,4,3903660,7259041,4840984,1.479761E+07,3.4%,1.7%,5.4%,3.7%,2.54423904418945,2.54423904418945,2.54423904418945,2.54423904418945,5,5,5,5
A0A286ZUI9,GYG1,Glycogenin 1,2,9,8,3,1,5,5,3,3.28621E+07,1.586189E+07,8305213,3.697192E+07,3%,20.4%,20.7%,10.8%,1.63930487632751,1.63930487632751,1.63930487632751,1.63930487632751,7,7,7,7
A0A286ZVB7;P45846,DPT,Dermatopontin,20,22,3,23,5,5,2,5,7.02622E+08,1.257734E+09,1.282935E+08,1.368872E+08,29.9%;32.8%,25.9%;28.4%,13.9%;15.3%,24.4%;26.8%,2.75848364830017,2.75848364830017,2.75848364830017,2.75848364830017,7,7,7,7
A0A287AAL6;A0A5K1UHX7;K7GLQ8;K7GSI9,FHL1,Four and a half LIM domains 1,6,6,3,6,3,4,3,4,3.981341E+07,3.56692E+07,7622396,7809985,8.6%;9.8%;9.9%;10.2%,11.8%;13.5%;13.6%;14%,7.9%;9%;9.1%;9.4%,11.5%;13.2%;13.3%;13.7%,2.26971411705017,2.26971411705017,2.26971411705017,2.26971411705017,5,5,5,5
F1S3G7,COL5A3,Collagen type V alpha 3 chain,3,1,4,2,2,1,3,2,2732188,7318338,4030755,179657.8,1.2%,0.6%,3.7%,2.5%,2.43432545661926,2.43432545661926,2.43432545661926,2.43432545661926,4,4,4,4
P14460,FGA,Fibrinogen alpha chain (Fragment),1,1,NaN,2,1,1,NaN,2,1501292,7854912,NaN,3837784,64.7%,64.7%,NaN,100%,2.27270460128784,2.27270460128784,NaN,2.27270460128784,2,2,NaN,2
A0A287A4Z2;A0A287APZ8,SOD2,"Superoxide dismutase;Superoxide dismutase [Mn], mitochondrial",4,3,NaN,9,3,2,NaN,5,2226893,2818744,NaN,8619223,12.8%;6.4%,9.9%;4.9%,NaN,12.8%;6.4%,2.04188966751099,2.04188966751099,NaN,2.04188966751099,7,7,NaN,7
A0A287AU52;A0A287BJZ1;A0A5G2QMU8;A0A5G2QQZ6;A0A5G2QR44;A0A5G2RDQ2,NPNT,Nephronectin,3,3,NaN,NaN,2,2,NaN,NaN,2178985,8088138,NaN,NaN,2.8%;4.3%;2.9%;4%;4.3%;2.8%,2.8%;4.3%;2.9%;4%;4.3%;2.8%,NaN,NaN,1.67033040523529,1.67033040523529,NaN,NaN,2,2,NaN,NaN
