PG.CellularComponent	PG.BiologicalProcess	PG.MolecularFunction	PG.UniprotIds	PG.Genes	PG.ProteinDescriptions	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.Label-Free Quant	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa2a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_Fa1a_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T4_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T3_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T2_500ng.raw.PG.UniquePeptides	20220526_MK_LB_PB_E1200_15cm_noFAIMS_T1_500ng.raw.PG.UniquePeptides
;nucleus,cytoplasm	;'de novo' pyrimidine nucleobase biosynthetic process,'de novo' UMP biosynthetic process	;orotate phosphoribosyltransferase activity,orotidine-5'-phosphate decarboxylase activity	A0A5G2RBV3;F1SQ55	UMPS	Uridine 5'-monophosphate synthase	NaN	NaN	493633.1	331640.5	91917.13	379520.4	NaN	NaN	1	1	1	1
	regulation of signal transduction		K7GQ35	IGBP1	Uncharacterized protein	NaN	NaN	997284.5	384527.5	256148.6	1650362	NaN	NaN	4	4	4	4
;;intracellular membrane-bounded organelle;mitochondrion,mitochondrial matrix,pyruvate dehydrogenase complex	;;acetyl-CoA biosynthetic process from pyruvate,oxidation-reduction process;glucose metabolic process,acetyl-CoA biosynthetic process from pyruvate,tricarboxylic acid cycle	;;pyruvate dehydrogenase (acetyl-transferring) activity;pyruvate dehydrogenase activity,pyruvate dehydrogenase (acetyl-transferring) activity	A0A5G2QMB8;A0A5K1VBH1;I3LCI2;P29804	PDHA1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial;Pyruvate dehydrogenase E1 component subunit alpha;Pyruvate dehydrogenase E1 component subunit alpha;Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial (Fragment)	NaN	NaN	3711487	6157848	5696264	4860741	NaN	NaN	9	9	9	9
			A0A480EA26	MYPN	Myopalladin isoform a	NaN	NaN	5191928	2029171	2601475	7277387	NaN	NaN	8	8	8	8
;	;	;	A0A5G2QJD9;A0A5G2QPT0	AAK1	AP2-associated protein kinase 1	NaN	NaN	3655395	482659.5	7817601	4169297	NaN	NaN	4	4	4	4
;	;	;actin filament binding	A0A286ZT82;A0A287AZK2	TAGLN	Transgelin	NaN	NaN	2.968681E+07	3.662948E+07	2647002	2.872462E+07	NaN	NaN	10	10	10	10
;	;	;RNA binding	A0A286ZP94;A0A287A0R0	TIA1	TIA1 cytotoxic granule associated RNA binding protein	NaN	NaN	1.400599E+07	4359688	7975177	1.244062E+07	NaN	NaN	5	5	5	5
;;;;	;;;;	protein domain specific binding;;;;	A0A287A2R9;A0A287ARU7;A0A5G2QJ52;A0A5G2QK17;A0A5G2QSR7	CRK	14_3_3 domain-containing protein	NaN	NaN	4.900772E+07	3.126898E+07	1.697219E+07	1.739479E+07	NaN	NaN	7	7	7	7
;	;negative regulation of endopeptidase activity,hyaluronan metabolic process	;serine-type endopeptidase inhibitor activity	A0A5G2QEG8;F1RUM0	ITIH5	Inter-alpha-trypsin inhibitor heavy chain 5	NaN	NaN	4.327428E+07	1.093613E+08	2.643904E+07	4.332539E+07	NaN	NaN	10	10	10	10
;extracellular space,extracellular matrix	;positive regulation of endothelial cell proliferation,negative regulation of cytokine-mediated signaling pathway,regulation of type 2 immune response,regulation of transcription from RNA polymerase II promoter,inflammatory response,signal transduction,negative regulation of peptidase activity,negative regulation of bone mineralization,positive regulation of angiogenesis,regulation of T cell migration	;protease binding,interleukin-2 receptor binding,protein C-terminus binding,laminin binding	A0A287BHL7;I3LC64	ECM1	Extracellular matrix protein 1	NaN	NaN	4.464759E+07	2.828094E+07	2.505813E+07	4.12599E+07	NaN	NaN	11	11	11	11
;	;	;	A0A287BPI5;F1RIW3	PALLD	Palladin isoform X4;Palladin isoform X1	NaN	NaN	2.47743E+07	2.191971E+07	1.999144E+07	5.418109E+07	NaN	NaN	7	7	7	7
collagen trimer,extracellular matrix;;;	cell adhesion;;;	structural molecule activity;;;	A0A287AFT5;A0A287AX97;A0A287BIN8;F1SSE8	COL15A1	Collagen type XV alpha 1 chain	NaN	NaN	7.393011E+07	1.502349E+07	4.61859E+07	4.304058E+07	NaN	NaN	11	11	11	11
;;;	;;;	;;;	A0A286ZXD9;A0A287AY86;A0A287BAB8;A0A287BBL5	MAP4	Microtubule-associated protein	NaN	NaN	2.992542E+07	3.063729E+07	3.521216E+07	5.914465E+07	NaN	NaN	44	44	44	44
cytoplasm,cytosol	protein phosphorylation,response to oxidative stress,regulation of mitotic cell cycle,peptidyl-threonine phosphorylation,signal transduction by protein phosphorylation,stress-activated protein kinase signaling cascade,activation of protein kinase activity,intracellular signal transduction,regulation of apoptotic process,cellular hypotonic response,negative regulation of potassium ion transmembrane transporter activity	magnesium ion binding,protein serine/threonine kinase activity,receptor signaling protein serine/threonine kinase activity,ATP binding,identical protein binding	Q863I2	OXSR1	Serine/threonine-protein kinase OSR1	NaN	NaN	8077459	9355482	2.337882E+07	1.284935E+07	NaN	NaN	10	10	10	10
;extracellular region,lipid particle,cytosol,plasma membrane,intracellular membrane-bounded organelle	;lipid transport,lipoprotein metabolic process	;lipid binding	A0A287AV63;F1S7K4	PLIN4	Perilipin 4	NaN	NaN	3.194505E+07	4.737855E+07	1.429383E+07	1.377587E+07	NaN	NaN	6	6	6	6
			A0A287B600	SYNM	Synemin	NaN	NaN	6590409	3.605632E+07	8804867	NaN	NaN	NaN	8	8	8	NaN
;;;;;mitochondrion	;;;;;fatty acid beta-oxidation	;;;;;acetyl-CoA C-acyltransferase activity	A0A287BPJ7;A0A5G2QGB1;A0A5G2QGJ8;A0A5G2R343;A0A5G2RB89;F1SDN2	HADHB	Trifunctional enzyme subunit beta, mitochondrial isoform X1;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein;Uncharacterized protein	NaN	NaN	2.607168E+07	7650272	2.499965E+07	3.413407E+07	NaN	NaN	11	11	11	11
			A0A480KM31	C11orf1	Heat shock protein beta-2	NaN	NaN	2.401716E+07	1.802793E+07	4973949	1.376292E+07	NaN	NaN	7	7	7	7
			A0A287BA79	SPAG8	Sperm associated antigen 8	NaN	NaN	2.925309E+07	2.237503E+07	2.115181E+07	3.248477E+07	NaN	NaN	5	5	5	5
;;;;;	;;;;;	;;;;;	A0A286ZUW4;A0A287AHT1;A0A5G2QJK2;A0A5G2RN29;F1SPY2;K7GP45	PDK3	Protein-serine/threonine kinase	NaN	NaN	7191106	5142396	NaN	NaN	NaN	NaN	1	1	NaN	NaN
nucleus,mitochondrion	mitochondrion organization,positive regulation of transcription from RNA polymerase II promoter	sequence-specific DNA binding	F1RIU9	CHCHD2	Coiled-coil-helix-coiled-coil-helix domain-containing protein 2	NaN	NaN	8.382974E+07	2.971331E+07	9059773	5.125022E+07	NaN	NaN	3	3	3	3
nucleus,cytosol,plasma membrane,Z disc	extrinsic apoptotic signaling pathway via death domain receptors,negative regulation of striated muscle cell apoptotic process,cellular response to heat,positive regulation of transcription factor import into nucleus,positive regulation of protein export from nucleus,regulation of catalytic activity,protein stabilization,cellular response to mechanical stimulus,extrinsic apoptotic signaling pathway in absence of ligand,negative regulation of transcription from RNA polymerase II promoter in response to stress	adenyl-nucleotide exchange factor activity,cadherin binding,chaperone binding	F1S415	BAG3	BAG cochaperone 3	NaN	NaN	4.184034E+07	5.076988E+07	5.684614E+07	1.012871E+08	NaN	NaN	12	12	12	12
mitochondrial inner membrane	neuron projection development	calcium ion binding	F1SMT0	EFHD1	EF-hand domain family member D1	NaN	NaN	1.756025E+07	7187554	1023077	3884383	NaN	NaN	3	3	3	3
chromatin,nucleus,nuclear envelope,nucleoplasm,nucleolus,cytoplasm,centriole,midbody,RNA nuclear export complex,recycling endosome	ribosomal subunit export from nucleus,ribosomal large subunit export from nucleus,ribosomal small subunit export from nucleus,protein import into nucleus, translocation,mitotic sister chromatid segregation,protein import into nucleus,actin cytoskeleton organization,positive regulation of protein binding,cellular protein complex localization,GTP metabolic process,snRNA import into nucleus,protein localization to nucleolus	magnesium ion binding,GTPase activity,GTP binding,GDP binding,cadherin binding,protein heterodimerization activity,pre-miRNA binding	F1RFQ7	RAN	GTP-binding nuclear protein Ran	NaN	NaN	1.63335E+07	1.465087E+07	4629677	2.19164E+07	NaN	NaN	5	5	5	5
;;;;;CCAAT-binding factor complex;;	;;;;;transcription, DNA-templated,regulation of transcription, DNA-templated;;	;;;;;DNA binding,transcription factor activity, sequence-specific DNA binding,protein heterodimerization activity;;	A0A286ZI30;A0A286ZIS8;A0A287A4V8;A0A287AAU5;A0A287AH72;A0A287BGU0;A0A287BMG3;F1SF75	NFYC	Nuclear transcription factor Y subunit gamma	NaN	NaN	723422.1	NaN	1214427	655376.6	NaN	NaN	2	NaN	2	2
	proteolysis	peptidase activity	F1SIR7	THSD4	Thrombospondin type 1 domain containing 4	NaN	NaN	2.372282E+07	2.447351E+07	3.2218E+07	1.998686E+07	NaN	NaN	6	6	6	6
			A0A287AEK2	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit	NaN	NaN	2.584738E+07	2460751	4229371	1.020037E+07	NaN	NaN	7	7	7	7
;	;	;	A0A286ZNA7;F6PU32	CAST	Calpain inhibitor	NaN	NaN	8.01941E+07	2.832339E+07	2.670828E+07	6.624704E+07	NaN	NaN	17	17	17	17
	microtubule bundle formation,microtubule polymerization	tubulin binding	F1S2I8	TPPP3	Tubulin polymerization-promoting protein family member 3	NaN	NaN	1.406787E+07	7951262	2.042916E+07	6845903	NaN	NaN	5	5	5	5
;;;	;;glycolytic process;	;;magnesium ion binding,pyruvate kinase activity,kinase activity,potassium ion binding;	A0A287A7R4;A0A287AQJ5;A0A287B8G0;F1SHM0	PKM	Multifunctional fusion protein;Multifunctional fusion protein;Multifunctional fusion protein;Pyruvate kinase	NaN	NaN	2.474062E+07	2.353188E+07	2.584506E+07	1.892384E+07	NaN	NaN	16	16	16	16
;;;	;;;	;;;asparaginase activity	A0A286ZT02;A0A287AUX9;A0A5G2QQ19;F1RPW8	ASRGL1	Asparaginase-like protein 1	NaN	NaN	314219.3	2377665	NaN	NaN	NaN	NaN	2	2	NaN	NaN
		calmodulin binding	A0A286ZI58	PCP4	Purkinje cell protein 4	NaN	NaN	5140082	2.71823E+07	1.87654E+07	1.365455E+07	NaN	NaN	3	3	3	3
;troponin complex	;skeletal muscle contraction,regulation of muscle contraction	;calcium ion binding,calcium-dependent protein binding,actin filament binding	A0A287AIU7;P63317	TNNC1	Troponin C, slow skeletal and cardiac muscles;Troponin C, slow skeletal and cardiac muscles	NaN	NaN	2.382413E+07	2.167228E+07	1.133499E+07	1.257625E+07	NaN	NaN	3	3	3	3
			A0A286ZIL9	COL18A1	Collagen type XVIII alpha 1 chain	NaN	NaN	4.148247E+07	6.631751E+07	6.545761E+07	9.11314E+07	NaN	NaN	17	17	17	17
;;;;phosphopyruvate hydratase complex	;;;;glycolytic process	;;;;magnesium ion binding,phosphopyruvate hydratase activity	A0A286ZSQ1;A0A5G2R7R6;A0A5G2RCS9;F1RFY2;Q1KYT0	ENO3	2-phospho-D-glycerate hydro-lyase;2-phospho-D-glycerate hydro-lyase;2-phospho-D-glycerate hydro-lyase;2-phospho-D-glycerate hydro-lyase;Beta-enolase	NaN	NaN	1763636	2598398	5915987	5674781	NaN	NaN	6	6	6	6
;mitochondrial matrix	metabolic process;metabolic process	methylmalonyl-CoA mutase activity,cobalamin binding,metal ion binding;GTPase activity,methylmalonyl-CoA mutase activity,cobalamin binding,identical protein binding,protein homodimerization activity,metal ion binding	A0A287BA08;Q8MI68	MMUT	Methylmalonyl-CoA isomerase;Methylmalonyl-CoA mutase, mitochondrial	NaN	NaN	2245898	468106.3	7422452	1562473	NaN	NaN	4	4	4	4
;;;;;	;;;;;	;;;;;	A0A287AEJ8;A0A287AQJ4;A0A287B8P7;A0A480T9G5;A0A5G2QA39;F1RWV6	USP4;USP4;USP11;USP4;USP4;USP11	Ubiquitin carboxyl-terminal hydrolase;Ubiquitinyl hydrolase 1;Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase;Ubiquitin carboxyl-terminal hydrolase	NaN	NaN	3121823	1314497	NaN	2004512	NaN	NaN	1	1	NaN	1
cytoplasm;;	protein folding;;	ATP binding,unfolded protein binding;;	A0A287AMZ2;A0A5G2R2Z6;F1RP17	CCT3	T-complex protein 1 subunit gamma	NaN	NaN	4.396763E+07	2.35647E+07	1.433296E+07	2.648544E+07	NaN	NaN	12	12	12	12
			A0A286ZYX8	ALDOA	Fructose-bisphosphate aldolase	NaN	NaN	1.536854E+07	1.120728E+07	3.854552E+07	1.150635E+07	NaN	NaN	7	7	7	7
VCB complex,elongin complex			F1SUG4	ELOB	Ubiquitin-like domain-containing protein	NaN	NaN	6718184	2518764	1.103995E+07	2.45848E+07	NaN	NaN	4	4	4	4
cell;	cell redox homeostasis,oxidation-reduction process,cellular oxidant detoxification;	peroxiredoxin activity;	A0A286ZND5;F1S3U9	PRDX1	Peroxiredoxin-1	NaN	NaN	1.634679E+07	5852590	4402475	4498198	NaN	NaN	5	5	5	5
;polysome,eukaryotic translation initiation factor 4F complex	;formation of translation preinitiation complex,sexual reproduction,developmental growth,eukaryotic translation initiation factor 4F complex assembly	;translation initiation factor activity,RNA strand annealing activity,RNA strand-exchange activity,ribosomal small subunit binding,cadherin binding	A0A480PPD4;I3LRD5	EIF4H	Eukaryotic translation initiation factor 4H	NaN	NaN	5.401033E+07	7.273249E+07	1.802494E+07	3.934199E+07	NaN	NaN	8	8	8	8
;;;;nucleoplasm,mitochondrion,cilium,acrosomal matrix,myelin sheath,oxoglutarate dehydrogenase complex,pyruvate dehydrogenase complex;acrosomal vesicle,nucleus,mitochondrion,mitochondrial matrix,motile cilium,oxoglutarate dehydrogenase complex	;;;;acetyl-CoA biosynthetic process from pyruvate,mitochondrial electron transport, NADH to ubiquinone,proteolysis,gastrulation,regulation of membrane potential,cell redox homeostasis,sperm capacitation,Requires Ontology;electron transport chain,cell redox homeostasis,Requires Ontology	;;;;dihydrolipoyl dehydrogenase activity,electron carrier activity,pyruvate dehydrogenase (NAD+) activity,flavin adenine dinucleotide binding;dihydrolipoyl dehydrogenase activity,electron carrier activity,flavin adenine dinucleotide binding	A0A480N1D9;A0A5G2QGG6;A0A5G2QH34;A0A5G2QPK6;F1SAF0;P09623	DLD	Dihydrolipoyl dehydrogenase;Dihydrolipoyl dehydrogenase;Dihydrolipoyl dehydrogenase;Dihydrolipoyl dehydrogenase;Dihydrolipoyl dehydrogenase;Dihydrolipoyl dehydrogenase, mitochondrial	NaN	NaN	3.551931E+07	3.849018E+07	8477134	1.133086E+07	NaN	NaN	9	9	9	9
;;;;;	;protein folding,response to stress;;;;	;ATP binding,unfolded protein binding;;;;	A0A286ZKC5;A0A286ZR68;A0A287A9T4;A0A287BDM6;A0A287BK26;F1RQU2	HSP90AB1	HATPase_c domain-containing protein;Heat shock protein HSP 90-beta isoform a;HATPase_c domain-containing protein;HATPase_c domain-containing protein;HATPase_c domain-containing protein;HATPase_c domain-containing protein	NaN	NaN	5221020	3022315	4022955	9415070	NaN	NaN	4	4	4	4
;;nucleus,autophagosome,Golgi apparatus,trans-Golgi network,cytoplasmic vesicle,perinuclear region of cytoplasm,recycling endosome	;;autophagy,vesicle-mediated transport,cellular response to unfolded protein,regulation of I-kappaB kinase/NF-kappaB signaling,Golgi ribbon formation	;;metal ion binding,K63-linked polyubiquitin binding	A0A287A3J9;A0A5S6GSJ7;Q7YS99	OPTN	Optineurin	NaN	NaN	1.576079E+07	6358670	9542117	2.13943E+07	NaN	NaN	12	12	12	12
	determination of left/right symmetry,heart development		I3LAL4	TNNI3	Cardiac troponin I	NaN	NaN	1.714584E+08	1.545926E+08	3.163633E+08	1.189592E+08	NaN	NaN	14	14	14	14
;;;;stress fiber,microtubule,axoneme,septin complex,perinuclear region of cytoplasm,Requires Ontology	;;;;protein heterooligomerization,positive regulation of nonmotile primary cilium assembly	;;;;GTP binding,cadherin binding	A0A5G2QDY0;A0A5G2QMI6;A0A5G2QRA0;A0A5G2R9R9;F1RZ71	SEPTIN9	Septin 9	NaN	NaN	8028864	3938900	1344611	1271370	NaN	NaN	4	4	4	4
intracellular;;	negative regulation of nucleic acid-templated transcription;;	transcription corepressor activity,zinc ion binding;;	A0A286ZVA8;A0A287BJI8;A0A287BNE9	TRIM28	Tripartite motif containing 28	NaN	NaN	671020.6	747309.2	2381549	NaN	NaN	NaN	3	3	3	NaN
mitochondrial inner membrane,mitochondrial nucleoid,myelin sheath	translational elongation	translation elongation factor activity,GTPase activity,GTP binding	F1RFI1	TUFM	Elongation factor Tu	NaN	NaN	1.507763E+08	9.8892E+07	1.543073E+08	2.44847E+08	NaN	NaN	16	16	16	16
			A0A5G2QWP1	PDCD5	Programmed cell death 5	NaN	NaN	4.105986E+08	2.973628E+08	2.032366E+08	1.257133E+08	NaN	NaN	5	5	5	5
;;;	;;;	;;;	A0A480VY41;A0A5G2QKM2;A0A5G2RJH9;F2Z4Z4	CSNK1A1	Casein kinase I isoform alpha	NaN	NaN	1245349	1.807961E+07	3370003	1.773152E+07	NaN	NaN	4	4	4	4
mitochondrion			A0A287A808	COX6B	Cytochrome c oxidase subunit	NaN	NaN	5469809	2693916	1177027	2047600	NaN	NaN	2	2	2	2
;;proteasome complex,cytosol,VCP-NPL4-UFD1 AAA ATPase complex	;;negative regulation of protein ubiquitination,negative regulation of proteasomal ubiquitin-dependent protein catabolic process,negative regulation of protein K48-linked deubiquitination,negative regulation of ERAD pathway,negative regulation of ubiquitin-specific protease activity	;;ubiquitin protein ligase binding,K48-linked polyubiquitin binding,ubiquitin binding,ATPase binding,K6-linked polyubiquitin binding	A0A5G2QHB2;A0A5G2RBL1;I3LUD5	UBXN1	UBX domain protein 1	NaN	NaN	440735.5	NaN	NaN	274354.3	NaN	NaN	1	NaN	NaN	1
	phosphorylation	ATP binding,kinase activity	Q2HYU1	CKMT2	Creatine kinase	NaN	NaN	5.743846E+07	1.091056E+08	4.22917E+07	7.873848E+07	NaN	NaN	24	24	24	24
			A0A5G2R4Z1	SNX3	Sorting nexin-3	NaN	NaN	862926.7	859179.5	2627712	503181.3	NaN	NaN	3	3	3	3
			A0A287AGA5	PEA15	15 kDa phosphoprotein enriched in astrocytes	NaN	NaN	7772519	3427728	1617128	NaN	NaN	NaN	3	3	3	NaN
			I3LDI0	MLIP	Muscular LMNA interacting protein	NaN	NaN	2.846237E+07	6.127388E+07	2.36209E+07	1.36663E+07	NaN	NaN	16	16	16	16
;;;basement membrane,extracellular space,sarcoplasmic reticulum	;;;positive regulation of endothelial cell proliferation,negative regulation of angiogenesis,extracellular matrix organization,regulation of tissue remodeling,response to endoplasmic reticulum stress,behavioral response to pain,positive regulation of peptidyl-tyrosine phosphorylation,myoblast migration,endothelial cell-cell adhesion,positive regulation of neutrophil chemotaxis	;;;integrin binding,calcium ion binding,heparin binding	A0A5G2QTC8;F1RF27;F1RF28;I3L8H4	THBS4	Thrombospondin 4	NaN	NaN	1.994454E+08	5.882545E+08	2.115587E+08	1.904801E+08	NaN	NaN	27	27	27	27
;;;;;;cytoplasm	;;;;;;phosphate-containing compound metabolic process	;;;;;;magnesium ion binding,inorganic diphosphatase activity	A0A287A6I6;A0A287AYH4;A0A287BKH7;A0A5G2Q8L9;A0A5G2QBZ4;A0A5G2R466;I3LFE8	PPA2	Inorganic diphosphatase	NaN	NaN	1099829	989619.8	96303.05	699683.7	NaN	NaN	2	2	2	2
;	;	calcium ion binding;	A0A287AWJ1;F1SAW8	CASQ2	Calsequestrin	NaN	NaN	5287789	8928208	4881611	5812630	NaN	NaN	4	4	4	4
;;;;;;;;;	;;;;;;;;;	;;;;;;;;;	A0A287A2Q2;A0A287A960;A0A287ACE1;A0A287AD37;A0A287AYX4;A0A287BH77;A0A287BSV6;A0A5G2QEU9;A0A5G2QLJ9;F1S995	PLEKHA7	Pleckstrin homology domain containing A7	NaN	NaN	1949164	1905086	NaN	NaN	NaN	NaN	4	4	NaN	NaN
;extracellular space,endoplasmic reticulum,extracellular matrix	;response to oxidative stress,extracellular matrix organization,hydrogen peroxide catabolic process,oxidation-reduction process,cellular oxidant detoxification	;peroxidase activity,extracellular matrix structural constituent,heme binding	F1S9J3;I3LDA4	PXDN	Peroxidase	NaN	NaN	358381.9	424932.3	123295.4	469395.5	NaN	NaN	4	4	4	4
nuclear speck	cellular response to leukemia inhibitory factor	RNA binding,phospholipase binding	F1RY92	SRSF3	Serine and arginine rich splicing factor 3	NaN	NaN	1.160946E+07	1.218869E+07	3728944	2846335	NaN	NaN	5	5	5	5
;;	proteolysis;;	metalloendopeptidase activity,metal ion binding;;	A0A287BBS8;A0A5G2R3M8;F1SC98	IDE	Insulin degrading enzyme	NaN	NaN	92796.86	219973	NaN	38404.77	NaN	NaN	1	1	NaN	1
;;;;;nuclear matrix,paraspeckles,catalytic step 2 spliceosome	;;;;;alternative mRNA splicing, via spliceosome	;;;;;RNA binding,protein domain specific binding	A0A286ZJK2;A0A287AJ89;A0A287ASN3;A0A287BL93;A0A287BPD5;F1SA50	HNRNPM	Heterogeneous nuclear ribonucleoprotein M	NaN	NaN	4398666	532476.4	2874328	3170039	NaN	NaN	2	2	2	2
;;;;	;;;;	;;;;	A0A287BP44;A0A5G2R2V0;A0A5G2R912;F1RSR1;I3LMW6	SPART	Spartin	NaN	NaN	756916.4	704686.4	125339.3	235537	NaN	NaN	2	2	2	2
mitochondrial respiratory chain complex III,integral component of membrane	mitochondrial electron transport, ubiquinol to cytochrome c	ubiquinol-cytochrome-c reductase activity	F1RI18	UQCRQ	Complex III subunit 8	NaN	NaN	1.227571E+07	9151769	3797330	2322170	NaN	NaN	3	3	3	3
;;;	;;;	;;;	A0A287A0Z4;A0A480KYX1;A0A5G2QM51;A0A5G2QUG9	EEF1D	Nicotinate phosphoribosyltransferase	NaN	NaN	95522.34	520341	NaN	NaN	NaN	NaN	2	2	NaN	NaN
;	;	;	A0A5G2QSA7;A0A5G2R954	NDUFB9	Complex I-B22	NaN	NaN	3456804	4229161	4514189	6012027	NaN	NaN	1	1	1	1
;	;	ATP binding;	A0A287B6J6;F1RI15	HSPA4	Heat shock 70 kDa protein 4	NaN	NaN	3.889864E+07	4.470684E+07	2.094955E+07	2.506539E+07	NaN	NaN	15	15	15	15
;;;	;;;	RNA binding,zinc ion binding;;;	A0A287ASZ5;A0A287B8X4;A0A5G2RDD9;F1S4R5	SRSF7	Serine and arginine rich splicing factor 7	NaN	NaN	2.249714E+07	1.109462E+07	1.822242E+07	1.999086E+07	NaN	NaN	5	5	5	5
;;;;mitochondrial matrix	;;;;fatty acid beta-oxidation,fatty acid beta-oxidation using acyl-CoA dehydrogenase	;;;;acyl-CoA dehydrogenase activity,flavin adenine dinucleotide binding,medium-chain-acyl-CoA dehydrogenase activity	A0A2C9F350;A0A5G2R006;A0A5G2RC01;A0A5S6HU82;P41367	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial;Medium-chain-specific acyl-CoA dehydrogenase, mitochondrial;Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	NaN	NaN	4.07714E+07	5.076575E+07	2.461861E+07	5.026614E+07	NaN	NaN	12	12	12	12
;;nucleoplasm,integral component of membrane,sarcoplasmic reticulum membrane,ribbon synapse	;;regulation of the force of heart contraction,ER-nucleus signaling pathway,organelle organization,transition between fast and slow fiber,cardiac muscle hypertrophy in response to stress,positive regulation of endoplasmic reticulum calcium ion concentration,T-tubule organization,cellular response to oxidative stress,negative regulation of heart contraction,sarcoplasmic reticulum calcium ion transport,Requires Ontology,regulation of calcium ion-dependent exocytosis of neurotransmitter,calcium ion transport from cytosol to endoplasmic reticulum	;;calcium-transporting ATPase activity,calcium ion binding,protein binding,ATP binding,enzyme binding,S100 protein binding	A0A5S6HET4;A0A5S6HSJ6;P11607	ATP2A2	Calcium-transporting ATPase;Calcium-transporting ATPase;Sarcoplasmic/endoplasmic reticulum calcium ATPase 2	NaN	NaN	2.376747E+07	1.936857E+08	3.449136E+07	1.061959E+08	NaN	NaN	9	9	9	9
;nucleus,nucleoplasm	;RNA processing	;RNA-3'-phosphate cyclase activity,ATP binding	A0A5G2RLE0;F1S564	RTCA	RNA 3'-terminal phosphate cyclase	NaN	NaN	264615	688271.6	610895.5	1023179	NaN	NaN	2	2	2	2
;;;;extracellular region,cytosol,cytoskeleton	;;;;actin filament polymerization,actin nucleation,actin filament severing,barbed-end actin filament capping,cilium morphogenesis	;;;;calcium ion binding,actin filament binding	A0A286ZIC1;A0A286ZSM7;A0A287A6P1;A0A287BJC6;P20305	GSN	Actin-depolymerizing factor;Actin-depolymerizing factor;Actin-depolymerizing factor;Actin-depolymerizing factor;Gelsolin (Fragment)	NaN	NaN	3.062878E+07	5.436929E+07	4.702351E+07	2.097476E+07	NaN	NaN	9	9	9	9
mitochondrial inner membrane;	mitochondrial pyruvate transport;	;	A0A287A9B5;A0A5G2REF7	MPC1	Mitochondrial pyruvate carrier	NaN	NaN	1527936	1.411344E+07	5593869	3286643	NaN	NaN	2	2	2	2
extracellular space,extracellular matrix			F1SBC8	EMILIN2	Elastin microfibril interfacer 2	NaN	NaN	7.079099E+07	3.433616E+07	7.883454E+07	5.406092E+07	NaN	NaN	19	19	19	19
;mitochondrial matrix,cytosol	;electron transport chain,fatty acid beta-oxidation using acyl-CoA dehydrogenase,oxidation-reduction process	;nucleotide binding,electron carrier activity	A0A5G2R0H0;Q6UAQ8	ETFB	Electron transfer flavoprotein subunit beta	NaN	NaN	438210.6	125751.3	1529430	1.284895E+07	NaN	NaN	4	4	4	4
			A0A287AUY5	HDGFL3	PWWP domain-containing protein	NaN	NaN	1067978	1046951	NaN	1070510	NaN	NaN	2	2	NaN	2
;;	;;	;;	A0A287B8S1;A0A5G2R6X5;A0A5K1UVT0	SETD3	Protein-histidine N-methyltransferase	NaN	NaN	251397	NaN	13204.11	NaN	NaN	NaN	1	NaN	1	NaN
endoplasmic reticulum,perinuclear region of cytoplasm,recycling endosome membrane	endocytic recycling,protein homooligomerization	calcium ion binding,GTP binding,cadherin binding	I3LDA5	EHD4	EH domain containing 4	NaN	NaN	2073621	3335180	635242	3633997	NaN	NaN	9	9	9	9
			A0A287AP18	NRAP	Nebulin related anchoring protein	NaN	NaN	1.972079E+07	5.918257E+07	1.69894E+07	6624144	NaN	NaN	64	64	64	64
			A0A5G2R8A9	CPT2	Carnitine palmitoyltransferase 2	NaN	NaN	1.72685E+07	2.367679E+07	1.376854E+07	1.823074E+07	NaN	NaN	22	22	22	22
			A0A286ZYJ8	UPF1	UPF1 RNA helicase and ATPase	NaN	NaN	3742006	5538834	2515758	3416249	NaN	NaN	11	11	11	11
